OBJECTID,Shape,id_compraventa,ano,coordenada_x,coordenada_y,nombre_compraventa,comuna_correg,barrio,direccion,tipo_compraventa,clasificacion_compraventa,tiempo_actividad_meses,dest_res_peligrosos,componentes_capacitado,entidades_capacitadoras,capacitado_ot_programas,cual_ot_programa,calidad_materiales,lunes,martes,miercoles,jueves,viernes,sabado,domingo,recoleccion_domicilio,compraventa_movil,compra_vende_almacena,beneficio,transf_materiaprima,transf_productermi,carro,motocarro,camioneta,camion,personal_contratado,personas_contratadas,f_diligenciamiento,Country
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"(4716291.3237000005, 2253128.0067)",1237,2012,4716291.324,2253128.007,Pro-Servicios Bernando Ru�z,Comuna 4 Aranjuez,Moravia,CR 55 E  93 E  43,Formal,Compra y Venta de material,117,No los compran.,Ninguna,NR.,No,NR.,Buenos,Si,Si,Si,Si,Si,Si,No,Si,No,Si,Si,No,No,No,No,No,No,Si,2,10/26/2012 13:22,Colombia
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,"(4716292.4903, 2253128.5299999993)",1271,2012,4716292.49,2253128.53,Fernando Arenas,Comuna 4 Aranjuez,Moravia,CR 55 E  93 E  59,Informal,Compra y Venta de material,240,No los procesa ni los comercializa.,Tecn�logico,Sena.,No,NR.,Buenos,Si,Si,Si,Si,Si,Si,Si,Si,No,Si,Si,No,No,No,No,No,No,Si,4,10/26/2012 13:54,Colombia
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,"(4718610.030200001, 2251365.8999000005)",1360,2012,4718610.03,2251365.9,Gabriel Jaramillo,Comuna 3 Manrique,El Raizal,CL 76   32   67,Formal,Compra y Venta de material,24,No los toca y no los recibe.,Ambiental,Secretar�a de Medio Ambiente de Medell�n. ,No,NR.,Regulares,Si,Si,Si,Si,Si,Si,No,No,No,Si,No,No,No,No,No,No,No,No,0,36:42.0,Colombia
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,"(4715282.235800001, 2250554.7799999993)",1533,2012,4715282.236,2250554.78,Reciplas,Comuna 7 Robledo,Universidad Nacional,CL 58 b  64   34,Informal,Compra y Venta de material,86,No los maneja.,Ambiental,Secretar�a de Medio Ambiente de Medell�n.,No,NR.,Regulares,Si,Si,Si,Si,Si,Si,No,Si,No,No,No,No,No,No,No,No,No,Si,8,10/29/2012 11:59,Colombia
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,"(4715346.1614, 2252239.7068000045)",1607,2012,4715346.161,2252239.707,Corporaci�n de Excedentes Industriales del Norte,Comuna 5 Castilla,Cementerio Universal,CL 81   64 B  16,Formal,Compra y Venta de material,36,Los deposita en la caneca de la basura.,Ninguna,NR.,No,NR.,Buenos,Si,Si,Si,Si,Si,Si,No,Si,No,Si,No,No,No,Si,No,No,No,Si,3,47:38.0,Colombia
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,"(4711389.4602000015, 2249722.8159)",2184,2012,4711389.46,2249722.816,Inversiones Rivera Center S.A,Comuna 12 La Am�rica,Campo Alegre,CL 44 A  92   91,Formal,Compra y Venta de material,24,No los Manejan.,Ninguna,NR.,No,NR.,Regulares,Si,Si,Si,Si,Si,Si,No,Si,No,No,No,No,No,No,No,No,No,Si,7,11/2/2012 13:12,Colombia
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,"(4715055.2141, 2249457.7135000005)",2187,2012,4715055.214,2249457.714,Excedentes San Javier,Comuna 10 La Candelaria,Coraz�n de Jes�s,CL 48   59   97,Formal,Compra y Venta de material,5,"No los manipulan, ni los compran.",Ninguna,NR.,No,NR.,Regulares,Si,Si,Si,Si,Si,Si,No,No,No,No,No,No,No,No,No,No,No,Si,2,11/2/2012 13:48,Colombia
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,"(4711349.959600001, 2249646.2342000026)",2189,2012,4711349.96,2249646.234,Chatarreria La Am�rica La 92,Comuna 12 La Am�rica,El Danubio,CL 42   92   99,Formal,Compra y Venta de material,120,No los manejan.,Ninguna,NR.,No,NR.,Regulares,Si,Si,Si,Si,Si,Si,No,Si,No,No,No,No,No,No,No,No,No,Si,2,11/2/2012 13:40,Colombia
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,"(4714178.480400001, 2251945.5484999996)",2236,2012,4714178.48,2251945.549,Horacio Zuluaga Villegas,Comuna 7 Robledo,La Pilarica,CL 75 A  74 A  70,Formal,Compra y Venta de material,1,No los recolecta.,Ninguna,NR.,No,NR.,Buenos,Si,Si,Si,Si,Si,Si,No,Si,No,Si,No,No,No,Si,No,No,No,Si,1,11/1/2012 23:04,Colombia
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,"(4716680.249300001, 2249311.6635999996)",2243,2012,4716680.249,2249311.664,Dep�sitos La Cartonera,Comuna 10 La Candelaria,Boston,CR 44 A  54   52,Informal,Compra y Venta de material,60,Los deposita en la caneca de la basura.,Ninguna,NR.,No,NR.,Buenos,Si,Si,Si,Si,Si,Si,No,No,No,Si,No,No,No,No,No,No,No,Si,6,11/2/2012 16:59,Colombia
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,"(4715770.760100001, 2250046.0255999994)",2395,2012,4715770.76,2250046.026,inversiones Ferroquir�z,Comuna 10 La Candelaria,Estaci�n Villa,CL 57 B  54   37,Formal,Compra y Venta de material,192,NR.,Ambiental,Secretar�a de Medio Ambiente de Medell�n.,No,NR.,Regulares,Si,Si,Si,Si,Si,Si,No,No,No,No,No,No,No,No,No,No,No,No,0,11/2/2012 10:18,Colombia
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,"(4716217.8884000005, 2249766.520800002)",2401,2012,4716217.888,2249766.521,Juan de Jes�s Orozco Franco,Comuna 10 La Candelaria,Villa Nueva,CR 50   55 A  4,Informal,Compra y Venta de material,24,NR.,Ninguna,NR.,No,NR.,Regulares,Si,Si,Si,Si,Si,Si,Si,Si,No,Si,No,No,No,No,No,No,No,No,0,11/7/2012 23:47,Colombia
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,"(4716110.3726, 2248571.3352000024)",2693,2012,4716110.373,2248571.335,Chatarrer�a La 51,Comuna 10 La Candelaria,Barrio Col�n,CR 43 B  44   51,Informal,Compra y Venta de material,18,No los recolecta.,Ambiental,Secretar�a de Medio Ambiente de Medell�n.,No,NR.,Buenos,Si,Si,Si,Si,Si,Si,Si,No,No,Si,No,No,No,No,No,Si,Si,No,0,11/2/2012 20:02,Colombia
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
